episode,env_return,steps,epsilon
0,-1.0,67,1.0
1,0.0,82,0.997625
2,0.0,62,0.99525
3,1.0,63,0.992875
4,0.0,84,0.9905
5,2.0,200,0.988125
6,0.0,50,0.98575
7,-1.0,36,0.983375
8,1.0,164,0.981
9,-1.0,30,0.978625
10,2.0,200,0.97625
11,0.0,51,0.973875
12,2.0,200,0.9715
13,1.0,200,0.969125
14,1.0,174,0.96675
15,1.0,37,0.964375
16,0.0,141,0.962
17,3.0,169,0.959625
18,2.0,200,0.95725
19,0.0,84,0.954875
20,0.0,79,0.9525
21,0.0,104,0.950125
22,2.0,200,0.94775
23,1.0,124,0.945375
24,0.0,98,0.9430000000000001
25,2.0,200,0.940625
26,0.0,67,0.93825
27,0.0,94,0.935875
28,3.0,91,0.9335
29,2.0,200,0.931125
30,0.0,83,0.92875
31,0.0,136,0.926375
32,1.0,200,0.924
33,0.0,86,0.921625
34,1.0,99,0.91925
35,0.0,41,0.916875
36,0.0,130,0.9145
37,2.0,200,0.912125
38,2.0,200,0.9097500000000001
39,1.0,114,0.907375
40,1.0,184,0.905
41,1.0,200,0.902625
42,1.0,200,0.90025
43,0.0,49,0.897875
44,0.0,31,0.8955
45,2.0,200,0.893125
46,0.0,49,0.89075
47,-1.0,67,0.888375
48,2.0,200,0.886
49,1.0,133,0.883625
50,2.0,200,0.88125
51,1.0,119,0.878875
52,2.0,200,0.8765000000000001
53,0.0,49,0.874125
54,3.0,124,0.87175
55,3.0,103,0.869375
56,2.0,200,0.867
57,2.0,200,0.864625
58,2.0,200,0.86225
59,1.0,175,0.859875
60,2.0,200,0.8575
61,2.0,200,0.855125
62,2.0,200,0.85275
63,-1.0,14,0.850375
64,2.0,200,0.848
65,3.0,162,0.8456250000000001
66,2.0,200,0.84325
67,0.0,62,0.840875
68,1.0,130,0.8385
69,1.0,148,0.836125
70,3.0,137,0.83375
71,1.0,51,0.831375
72,2.0,200,0.829
73,3.0,90,0.8266249999999999
74,2.0,200,0.82425
75,1.0,157,0.821875
76,1.0,125,0.8195
77,2.0,200,0.817125
78,2.0,200,0.81475
79,2.0,198,0.8123750000000001
80,2.0,200,0.81
81,3.0,99,0.807625
82,1.0,191,0.80525
83,1.0,85,0.802875
84,3.0,122,0.8005
85,3.0,137,0.798125
86,1.0,80,0.79575
87,1.0,127,0.7933749999999999
88,2.0,200,0.791
89,3.0,92,0.788625
90,1.0,113,0.78625
91,3.0,143,0.783875
92,3.0,85,0.7815
93,3.0,72,0.7791250000000001
94,3.0,83,0.77675
95,0.0,25,0.774375
96,3.0,112,0.772
97,3.0,104,0.769625
98,3.0,103,0.76725
99,1.0,62,0.764875
